,Walks,CRuns,RBI,Hits,Years,CHmRun,Division,CAtBat,Salary,NewLeague,HmRun,League,Assists,CRBI,PutOuts
 -Darryl Strawberry,72,292,93,123,4,NA,E,1810,1220,N,27,N,10,343,226
 -Wally Backman,36,272,27,124,7,6,E,1775,550,N,1,N,290,125,186
 -Lee Lacy,37,615,47,141,15,84,E,4291,525,A,11,A,8,430,239
 -Chris Bando,22,108,26,68,6,21,E,999,305,A,2,A,30,117,359
 -John Cangelosi,71,67,32,103,2,2,W,440,100,N,2,NA,7,32,276
 -Joel Youngblood,18,419,28,47,11,74,W,3327,450,N,5,N,2,382,49
 -Darryl Motley,12,156,20,46,NA,44,W,1325,NA,A,7,A,2,158,92
 -Ken Oberkfell,83,408,48,136,10,20,W,3423,725,N,5,N,258,303,65
 -Kevin Bass,38,219,79,184,5,40,W,1689,630,N,20,N,12,195,303
 -Kevin Mitchell,33,51,43,91,2,12,E,342,125,N,12,N,59,44,145
 -Dan Gladden,39,196,29,97,4,16,W,1258,210,A,4,N,7,110,226
 -Wade Boggs,105,474,71,207,5,32,E,2778,1600,A,8,A,267,322,121
 -Len Matuszek,21,113,28,52,6,30,W,805,NA,N,9,N,22,119,235
 -George Brett,80,1072,73,128,14,209,W,6675,1500,NA,16,A,218,1050,97
 -Garth Iorg,20,216,44,85,8,16,E,2140,362.5,A,3,A,185,208,91
 -Tim Wallach,44,338,71,112,7,110,E,3031,750,NA,18,N,270,406,94
 -Brian Downing,90,763,95,137,14,166,W,5201,900,A,20,A,5,734,267
 -Brett Butler,70,442,51,163,6,17,E,2695,765,A,4,A,9,198,434
 -George Bell,41,297,108,198,5,92,E,2129,1175,A,31,A,17,319,269
 -Carmen Castillo,9,117,32,57,5,32,E,756,247.5,A,8,A,4,NA,58
 -Al Newman,21,30,8,37,2,1,E,214,70,A,1,N,127,9,76
 -Tim Hulett,21,106,44,120,4,22,W,NA,185,A,17,A,144,80,70
 -Bob Dernier,22,291,18,73,7,13,E,1931,708.333,N,4,N,3,108,222
 -Gary Carter,62,847,105,125,13,NA,E,6063,1925.571,N,24,N,62,999,869
 -Billy Sample,14,371,14,57,9,46,W,2516,NA,N,6,N,1,230,69
 -Andres Thomas,8,32,32,81,2,6,W,341,75,N,6,N,290,34,143
 -Jack Clark,45,702,23,55,12,194,E,4405,1300,N,9,N,35,705,623
 -Mike Brown,27,101,26,53,4,23,E,853,NA,N,4,N,3,110,107
 -Lonnie Smith,46,571,44,146,9,41,W,3148,NA,A,8,A,5,289,245
 -Alfredo Griffin,35,501,51,169,11,19,W,4408,750,A,4,A,421,336,282
 -Harold Baines,38,492,88,169,7,140,W,3754,950,A,21,A,15,589,NA
 -Mike Heath,27,315,36,65,9,55,E,2815,650,A,8,N,30,325,259
 -Danny Tartabull,61,87,96,138,3,28,W,592,145,A,25,A,7,110,157
 -Andre Thornton,65,784,66,92,13,253,E,5206,1100,A,17,A,0,890,0
 -Scott Fletcher,47,218,50,159,6,11,W,1619,475,A,3,A,354,149,196
 -Jim Sundberg,57,578,42,91,13,83,W,5590,825,N,12,A,46,579,686
 -Terry Kennedy,1,2,3,4,1,1,W,19,920,A,1,N,70,3,692
 -Jeff Stone,20,97,19,69,4,10,E,702,NA,N,6,N,8,48,103
 -Jack Howell,19,45,21,41,2,9,W,288,95,A,4,A,56,39,28
 -Rick Manning,17,643,27,52,12,56,E,5134,400,A,8,A,3,445,155
 -Carney Lansford,39,634,72,168,9,113,W,4478,1200,A,19,A,147,563,67
 -Len Dykstra,58,117,45,127,2,9,E,667,202.5,N,8,N,8,64,283
 -Jeffrey Leonard,20,379,42,95,10,81,W,2964,100,N,6,N,4,428,158
 -Juan Beniquez,40,581,36,103,15,70,E,4338,430,A,6,A,56,421,211
 -Rafael Santana,36,94,28,86,4,3,E,1089,250,N,1,N,369,71,203
 -Jorge Orta,23,730,46,93,15,128,W,5779,NA,A,9,A,0,741,0
 -Dave Parker,56,978,116,174,14,247,W,6727,1041.667,N,31,N,9,1093,278
 -Joe Carter,32,210,121,200,4,57,E,1447,250,A,29,A,8,222,241
 -Tim Teufel,32,180,31,69,4,31,E,1359,277.5,N,4,N,173,148,133
 -Willie Wilson,31,775,44,170,11,30,W,4908,1000,A,9,A,4,357,408
 -Alex Trevino,27,192,26,53,9,15,W,1876,512.5,N,4,N,45,186,304
 -Oddibe McDowell,65,168,49,152,2,36,W,978,200,A,18,A,13,91,325
 -Fred Lynn,53,906,67,114,13,241,E,5589,NA,A,23,NA,2,926,244
 -Jose Cruz,55,980,72,133,17,153,W,7472,773.333,N,10,N,5,1032,237
 -Jim Presley,32,181,107,163,3,65,W,1437,200,A,27,A,308,227,110
 -Steve Buechele,35,76,54,112,2,24,W,680,135,A,18,A,226,75,111
 -Kal Daniels,22,34,23,58,1,6,W,181,86.5,N,6,N,0,23,88
 -Denny Walling,36,287,58,119,12,41,W,2133,595,N,13,N,156,294,59
 -Harry Spilman,15,80,30,39,9,16,W,639,175,N,5,N,15,97,138
 -Glenn Braggs,11,19,18,51,1,4,E,215,70,A,NA,A,5,18,116
 -Jody Davis,41,273,74,132,6,97,E,2641,1008.333,N,21,N,105,383,885
 -Rafael Ramirez,21,365,33,119,7,36,W,3358,875,N,8,N,371,280,155
 -Jerry Willard,22,77,26,43,3,21,W,707,NA,A,4,A,12,99,300
 -Chet Lemon,39,747,53,101,12,166,E,5150,675,A,12,A,6,666,316
 -Shawon Dunston,21,106,68,145,2,21,E,831,155,N,17,N,465,86,320
 -Davey Lopes,43,1019,35,70,15,154,E,6311,450,N,7,N,54,608,51
 -Ronn Reynolds,5,16,10,27,4,3,E,239,190,N,3,N,2,13,190
 -Bobby Bonilla,62,55,43,109,1,3,W,426,115,N,3,NA,22,43,361
 -Dale Murphy,75,813,83,163,11,NA,W,5017,1900,N,29,N,6,822,303
 -Terry Harper,29,135,30,68,7,32,W,1337,425,A,8,N,5,163,92
 -Steve Garvey,23,1138,81,142,18,271,W,8759,1450,N,21,NA,53,1299,1160
 -Ken Landreaux,22,505,29,74,10,85,W,3919,737.5,N,4,N,5,456,145
 -Bill Madlock,30,859,60,106,14,146,W,6207,850,N,10,N,NA,803,72
 -Mariano Duncan,30,121,30,93,2,14,W,969,150,NA,8,N,317,69,172
 -Curt Ford,23,32,29,53,2,2,E,226,70,N,2,N,7,32,109
 -Bobby Meacham,17,156,10,36,NA,3,E,1053,NA,A,0,A,149,86,70
 -Ernest Riles,54,123,47,132,2,14,E,972,NA,A,9,A,327,92,212
 -Jerry Hairston,26,202,26,61,11,25,W,1568,NA,A,5,A,9,185,132
 -Ozzie Guillen,12,129,47,137,2,3,W,1038,175,A,2,A,459,80,261
 -Dave Collins,44,612,27,113,12,32,E,NA,NA,A,1,A,2,344,211
 -Rafael Belliard,26,41,31,72,5,0,E,354,130,N,0,N,269,32,117
 -Franklin Stubbs,37,77,58,95,3,31,W,646,NA,N,23,N,10,77,206
 -Alan Trammell,59,702,75,159,10,90,E,4631,517.143,A,21,A,445,504,238
 -Vance Law,37,279,44,81,7,41,E,2268,525,N,5,N,284,257,170
 -Curt Wilkerson,11,116,15,56,4,1,W,1115,230,A,0,A,199,64,125
 -Pete Incaviglia,55,82,88,135,1,30,W,540,172,A,30,A,6,88,157
 -Tito Landrum,20,105,17,43,7,12,E,854,286.667,N,2,N,6,99,131
 -George Hendrick,26,915,47,77,16,259,W,6840,700,A,14,A,6,1067,144
 -Mike Young,49,181,42,93,5,54,E,1258,NA,A,9,A,1,177,149
 -Jim Morrison,47,302,88,147,10,97,E,2744,277.5,N,23,N,257,351,92
 -Rob Deer,72,102,86,108,3,44,E,652,215,A,33,A,8,109,286
 -Kurt Stillwell,30,31,26,64,1,0,W,279,75,N,0,N,205,26,107
 -Tim Raines,78,604,62,194,8,48,NA,3372,NA,N,9,N,13,314,270
 -Willie Randolph,94,897,50,136,12,39,E,5511,875,A,5,A,381,451,313
 -Tony Gwynn,52,352,59,211,5,27,W,2364,740,N,14,N,19,230,337
 -John Kruk,45,33,38,86,1,4,W,278,110,N,4,NA,4,38,102
 -Carmelo Martinez,35,164,25,58,4,49,W,1335,340,N,9,N,14,179,142
 -Jerry Royster,32,518,26,NA,14,33,W,3910,250,A,5,N,166,324,87
 -Eddie Milner,36,335,47,110,7,38,W,2130,490,N,15,N,6,174,292
 -Steve Sax,59,420,56,210,6,19,W,3070,90,N,6,N,432,230,367
 -Vince Coleman,60,201,29,139,2,1,E,1236,160,N,0,N,12,69,300
 -Gorman Thomas,58,681,36,59,13,268,W,4677,NA,A,16,A,0,782,0
 -Gary Redus,47,284,33,84,5,42,E,1516,400,A,11,N,8,141,185
 -Terry Pendleton,34,149,59,138,3,7,E,1399,160,N,1,N,371,161,133
