,AtBat,Runs,CHits,CWalks,Errors,Hits,Years,CRBI,League,HmRun,CAtBat,Division,RBI,CHmRun,CRuns
 -Will Clark,408,66,117,34,11,117,1,41,N,11,408,W,41,11,66
-Tom O'Malley,181,19,238,104,9,46,5,95,NA,1,937,NA,18,9,88
 -Jerry Mumphrey,309,37,1330,436,3,94,13,522,N,5,4618,E,32,57,616
 -Larry Parrish,464,67,1552,452,0,128,13,840,A,28,5829,W,94,210,740
 -Enos Cabell,277,27,1647,259,5,71,15,596,N,2,5952,W,29,60,753
 -Marvell Wynne,288,34,408,113,3,76,NA,120,N,7,1644,W,37,16,198
 -Wally Joyner,593,82,172,57,NA,172,1,100,A,22,593,W,100,22,82
 -Tony Bernazard,562,88,841,373,17,169,8,342,A,17,3181,E,73,NA,450
 -Chris Brown,416,57,273,80,18,132,3,121,N,7,932,W,49,24,113
 -Chris Speier,155,21,1634,777,3,44,16,661,N,6,6631,E,23,98,698
 -Sid Bream,522,73,185,86,17,140,4,106,N,16,730,E,77,22,93
 -Ben Oglivie,346,31,1615,560,0,98,16,901,A,5,5913,E,53,235,784
 -Howard Johnson,220,30,299,128,20,54,5,154,N,NA,1185,E,39,40,145
 -Dave Collins,419,44,1231,422,1,113,12,344,A,1,NA,E,27,32,612
 -Ozzie Smith,NA,67,1169,528,15,144,9,374,N,0,4739,E,54,13,583
 -Carmen Castillo,205,34,192,51,4,57,5,NA,A,8,756,E,32,32,117
 -George Bell,641,101,610,117,10,198,5,319,A,31,2129,E,108,92,297
 -Omar Moreno,359,46,1257,387,5,84,12,386,N,4,4992,W,27,37,699
 -Johnny Grubb,210,32,1130,551,0,70,15,462,A,13,4040,E,51,97,544
 -Rudy Law,307,42,656,184,2,80,7,NA,A,1,2421,W,36,18,379
 -Mike Schmidt,20,0,9,4,6,NA,2,7,N,0,41,E,0,2,6
 -Bip Roberts,241,34,61,14,10,61,1,12,N,1,241,W,12,1,34
 -Kurt Stillwell,279,31,64,30,16,64,1,26,N,0,279,W,26,0,31
 -Alan Wiggins,239,30,510,207,6,60,6,103,A,0,1941,E,11,4,309
 -Alfredo Griffin,594,74,1133,194,25,169,11,336,A,4,4408,W,51,19,501
 -Ozzie Guillen,547,58,271,24,22,137,2,80,A,2,1038,W,47,3,129
 -Dale Murphy,614,89,1388,617,6,163,11,822,N,29,5017,W,83,NA,813
 -Bob Brenly,472,60,489,240,3,116,6,251,N,16,1924,W,62,67,242
 -Ray Knight,486,51,1102,284,16,145,11,497,N,11,3967,E,76,67,410
 -Bobby Meacham,161,19,244,107,12,36,NA,86,A,0,1053,E,10,3,156
 -Kent Hrbek,550,85,815,319,10,147,6,474,A,29,2816,W,91,117,405
 -Bob Dernier,324,32,NA,180,3,73,7,108,N,4,1931,E,18,13,291
 -Dan Gladden,351,55,NA,117,3,97,4,110,N,4,1258,W,29,16,196
 -Don Mattingly,677,117,737,171,6,238,5,401,A,31,2223,E,113,93,349
 -Alvin Davis,479,66,457,263,14,130,3,266,A,18,1624,W,72,63,224
 -Bill Doran,550,92,633,NA,16,152,5,182,N,6,2308,W,37,32,349
 -Ron Oester,523,52,895,296,19,135,9,284,N,8,3368,W,44,39,377
 -Rafael Santana,394,38,267,76,NA,86,4,71,N,1,1089,E,28,3,94
 -Ken Phelps,344,69,214,187,0,85,7,156,A,24,911,W,64,64,150
 -Craig Reynolds,313,32,968,170,7,78,12,321,N,6,3742,W,41,35,409
 -Spike Owen,528,67,403,155,17,122,4,146,A,1,1716,W,45,12,211
 -Toby Harrah,289,36,1954,1153,7,63,17,919,A,7,7402,W,41,195,1115
 -Gary Pettis,539,93,369,198,7,139,5,126,A,5,1469,W,58,12,247
 -Jim Traber,212,28,59,20,5,54,2,46,A,13,233,E,44,13,31
 -Jeff Stone,249,32,209,44,2,69,4,48,N,6,702,E,19,10,97
 -Kevin McReynolds,560,89,470,155,8,161,4,260,N,26,1789,W,96,65,233
 -Tommy Herr,559,48,874,359,9,141,8,349,N,2,3162,E,61,16,421
 -Juan Beniquez,NA,48,1193,325,13,103,15,421,A,6,4338,E,36,70,581
 -Darrell Evans,507,78,1947,1380,2,122,18,1152,A,29,7761,E,85,347,1175
 -Steve Jeltz,439,44,148,99,22,96,4,56,NA,0,711,E,36,1,68
 -Ryne Sandberg,627,68,902,242,5,178,6,345,N,14,3146,E,76,74,494
 -Garth Iorg,327,30,568,93,12,85,8,208,A,3,2140,E,44,16,216
 -Jerry Hairston,225,32,408,257,0,61,11,185,A,5,1568,W,26,25,202
 -Tony Fernandez,687,91,448,89,13,213,4,137,A,10,1518,E,65,15,196
 -George Brett,441,70,2095,695,16,128,14,1050,A,16,6675,W,73,209,1072
 -Mike Heath,288,30,698,189,10,65,9,325,N,8,2815,E,36,55,315
 -Robby Thompson,549,73,149,42,17,149,1,47,N,7,549,W,47,7,73
 -Pete Rose,237,15,4256,1566,6,52,24,1314,N,0,14053,W,25,160,NA
 -Willie Randolph,492,76,1511,875,20,136,12,451,A,5,5511,E,50,39,897
 -Gary Carter,490,81,1646,680,8,125,13,999,N,24,6063,E,105,NA,847
 -Jim Dwyer,160,18,543,298,0,39,14,268,A,8,2128,E,31,56,304
 -Milt Thompson,299,38,160,44,2,NA,3,33,N,6,580,E,23,8,71
 -Tim Teufel,279,35,355,158,9,69,4,148,N,4,1359,E,31,31,180
 -Len Dykstra,431,77,187,88,3,127,2,64,N,8,667,E,45,9,117
 -Frank White,566,76,1583,300,10,154,14,693,A,22,6100,W,84,131,743
 -Willie Wilson,631,77,1457,249,3,170,11,357,A,9,4908,W,44,30,775
 -Rey Quinones,312,32,68,24,15,68,1,22,A,2,312,E,22,2,32
 -Steve Garvey,557,58,2583,478,7,142,18,1299,NA,21,8759,W,81,271,1138
 -Vance Law,360,37,566,246,3,81,7,257,N,5,2268,E,44,41,279
 -Terry Pendleton,578,56,357,87,20,138,3,161,N,1,1399,E,59,7,149
 -Garry Templeton,510,42,1578,256,20,126,11,519,N,2,5562,W,44,44,703
 -Jim Sundberg,429,41,1397,644,4,91,13,579,A,12,5590,W,42,83,578
 -Oddibe McDowell,572,105,249,101,3,152,2,91,A,18,978,W,49,36,168
 -Mike Pagliarulo,504,71,259,114,19,120,3,167,A,28,1085,E,71,54,150
 -Barry Bonds,413,72,92,65,5,92,1,48,N,16,413,E,48,16,72
 -Steve Balboni,512,54,412,155,18,NA,6,276,A,29,1750,W,88,100,204
 -Eric Davis,415,97,184,99,7,115,3,119,N,27,711,W,71,45,156
 -Jim Gantner,497,58,1066,241,10,136,11,367,A,7,3871,E,38,40,450
 -Harry Spilman,143,18,151,61,1,39,9,97,N,5,639,W,30,16,80
 -Danny Tartabull,511,76,164,71,8,138,3,110,A,25,592,W,96,28,87
 -Andres Galarraga,321,39,101,33,4,87,2,46,N,10,396,E,42,12,48
 -Gary Redus,340,62,376,219,4,84,5,141,N,11,1516,E,33,42,284
 -Andre Dawson,496,65,1575,354,3,141,11,838,N,20,5628,E,78,225,828
 -Alan Trammell,574,107,1300,488,22,159,10,504,A,21,4631,E,75,90,702
 -Ted Simmons,127,14,2402,819,6,32,19,NA,N,4,8396,W,25,242,1048
 -Alan Ashby,315,24,835,375,10,81,14,414,N,7,3449,W,38,69,321
 -Andre Thornton,401,49,1332,866,0,92,13,890,A,17,5206,E,66,253,784
 -Brook Jacoby,583,83,452,136,25,168,5,208,A,17,1646,E,80,44,219
 -Glenn Hubbard,408,42,866,410,19,94,9,365,N,4,3573,W,36,59,429
 -Damaso Garcia,424,57,1046,112,8,119,9,301,A,6,3651,E,46,32,461
 -Keith Hernandez,551,94,1840,917,5,171,13,900,N,13,6090,E,83,128,969
 -Ruben Sierra,382,50,101,22,6,101,1,55,A,16,382,W,55,16,50
 -Charlie Moore,235,24,1029,333,4,61,14,401,A,3,3926,E,39,35,441
 -Doug DeCinces,512,69,1397,548,12,131,14,815,A,26,5347,W,96,221,712
 -Ed Romero,233,41,336,106,10,49,8,122,A,2,1350,E,23,7,166
 -Terry Harper,265,26,339,128,3,68,7,163,N,8,1337,W,30,32,135
 -Lou Whitaker,584,95,1320,576,11,157,10,522,A,20,4704,E,73,93,724
 -Dave Kingman,561,70,1575,608,8,118,16,1210,A,35,6677,W,94,442,901
 -Ken Oberkfell,503,62,970,414,8,136,10,303,N,5,3423,W,48,20,408
 -Ken Griffey,490,69,1839,600,3,150,14,707,A,21,6126,E,58,121,983
 -Ozzie Virgil,359,45,359,175,13,80,7,202,N,15,1493,W,48,61,176
 -John Russell,315,35,151,55,13,76,3,94,N,13,630,E,60,24,68
 -Jack Clark,232,34,1213,625,3,55,12,705,N,9,4405,E,23,194,702
 -Ronn Reynolds,126,8,49,14,9,27,4,13,N,3,239,E,10,3,16
 -Rob Wilfong,288,25,667,204,7,63,10,259,A,3,2682,W,33,38,315
 -Tito Landrum,NA,24,219,71,1,43,7,99,N,2,854,E,17,12,105
 -Rich Gedman,462,49,583,150,6,119,7,288,A,16,2131,E,65,69,244
 -Lloyd Moseby,589,89,928,351,6,149,7,471,A,21,3558,E,86,102,513
 -Tom Paciorek,213,17,1145,244,4,61,17,491,A,4,4061,W,22,83,488
 -Floyd Rayford,210,15,244,53,15,37,6,114,A,8,994,E,19,36,107
 -Ken Landreaux,283,34,1062,283,7,74,10,456,N,4,3919,W,29,85,505
 -Denny Walling,382,54,594,227,9,119,12,294,N,13,2133,W,58,41,287
 -Dave Concepcion,311,42,2198,690,10,81,17,909,N,3,8247,W,30,100,950
 -Larry Sheets,338,42,185,50,0,92,3,112,A,18,682,E,60,36,88
 -Chet Lemon,403,45,1429,526,5,101,12,666,A,12,5150,E,53,166,747
 -Mike Davis,489,77,549,153,9,131,7,263,A,19,2051,W,55,62,300
 -Paul Molitor,437,62,1203,364,15,123,9,390,A,9,4139,E,55,79,676
 -Rafael Belliard,309,33,82,26,12,72,5,32,N,0,354,E,31,0,41
 -Dale Sveum,317,35,78,32,26,78,1,35,A,7,317,E,35,7,35
 -Lonnie Smith,508,80,915,326,9,146,9,289,A,8,3148,W,44,41,571
 -Shawon Dunston,581,66,210,40,32,145,2,86,N,17,831,E,68,21,106
 -Rafael Ramirez,496,57,882,165,29,119,7,280,N,8,3358,W,33,36,365
 -Carmelo Martinez,244,28,333,194,2,58,4,179,N,9,1335,W,25,49,164
 -Carlton Fisk,457,42,1767,619,4,101,17,977,A,14,6521,W,63,281,1003
 -Jerry Royster,257,31,979,382,14,NA,14,324,N,5,3910,W,26,33,518
 -Juan Bonilla,284,33,361,111,5,69,5,98,A,1,1407,E,18,6,139
 -Darren Daulton,138,18,53,55,4,31,3,32,NA,8,244,E,21,12,33
 -Bill Buckner,629,73,2464,402,14,168,18,1072,A,18,8424,E,102,164,1008
 -Eddie Milner,424,70,544,258,3,110,7,174,N,15,2130,W,47,38,335
 -Harold Baines,570,72,1077,NA,5,169,7,589,A,21,3754,W,88,140,492
 -Billy Hatcher,419,55,149,31,4,108,3,46,N,6,591,W,36,8,80
 -Mike Aldrete,216,27,54,33,1,54,1,25,N,2,216,W,25,2,27
 -Julio Cruz,209,38,NA,478,5,45,10,279,A,0,3859,W,19,23,557
 -Mickey Hatcher,317,40,715,118,4,88,8,270,A,3,2543,W,32,28,269
 -Harold Reynolds,445,46,129,48,16,99,4,31,A,1,618,W,24,1,72
 -Franklin Stubbs,420,55,139,61,7,95,3,77,N,23,646,W,58,31,77
 -Greg Gagne,472,63,187,50,26,118,4,80,A,12,793,W,54,14,102
 -Billy Beane,183,20,42,11,0,39,3,16,A,3,NA,W,15,3,20
 -Ron Kittle,376,42,408,157,0,82,5,NA,A,21,1770,W,60,115,238
 -Jim Presley,616,83,377,82,15,163,3,227,A,27,1437,W,107,65,181
 -Danny Heep,195,24,338,153,1,55,8,149,N,5,1313,E,33,25,144
 -Mookie Wilson,381,61,834,168,5,110,7,249,N,9,3015,E,45,40,451
 -Herm Winningham,185,23,125,47,2,40,3,37,N,4,524,E,11,7,58
 -John Moses,399,56,167,54,3,102,5,48,A,3,670,W,34,4,89
 -Bob Boone,22,4,26,3,11,10,6,9,A,1,84,W,2,2,9
 -Phil Garner,313,43,1543,535,23,83,14,714,N,9,5885,W,NA,104,751
 -Wade Boggs,580,107,978,417,19,207,5,322,A,8,2778,E,71,32,474
 -Bo Diaz,474,50,604,166,13,129,10,327,N,10,2331,W,56,61,246
 -Jack Howell,151,26,68,35,2,41,2,39,A,4,288,W,21,9,45
 -Mel Hall,442,68,398,136,7,131,6,203,A,18,1416,E,77,47,210
 -Ron Hassey,341,45,658,274,4,110,9,322,A,9,2331,E,49,50,249
 -Von Hayes,610,107,753,286,13,186,6,366,N,19,2728,E,98,69,399
 -Buddy Biancalana,190,24,102,39,16,46,5,23,A,2,479,W,8,5,65
 -Greg Walker,282,37,453,138,5,78,5,280,A,13,1649,W,NA,73,211
 -Kirk Gibson,441,84,750,309,2,118,8,420,A,28,2723,E,86,126,433
 -Dave Henderson,388,59,555,186,4,103,6,274,A,15,2174,W,NA,80,285
 -Jose Cruz,479,48,2147,854,4,133,17,1032,N,10,7472,W,72,153,980
 -Marty Barrett,625,94,476,166,14,179,5,163,A,4,1696,E,60,12,216
 -Scott Fletcher,530,82,426,163,15,159,6,149,A,3,1619,W,50,11,218
 -Dick Schofield,458,67,298,122,18,114,4,123,A,13,1350,W,57,28,160
 -Glenn Davis,574,91,260,95,11,152,3,173,N,31,985,W,101,53,148
 -Willie McGee,497,65,806,138,3,127,5,311,N,7,2703,E,48,32,379
 -Butch Wynegar,194,19,1069,608,2,40,11,493,A,7,4183,E,29,64,486
 -Ernie Whitt,395,48,571,248,7,106,NA,323,A,16,2303,E,56,86,266
 -Curt Wilkerson,236,27,270,57,13,56,4,64,A,0,1115,W,15,1,116
 -Daryl Boston,199,29,120,39,5,53,3,40,A,5,514,W,22,8,57
 -Randy Kutcher,186,28,44,11,1,44,1,16,N,7,186,W,16,7,28
 -Jose Canseco,600,85,173,69,14,144,2,130,A,33,696,W,117,38,101
 -Scott Bradley,220,20,80,15,3,66,3,31,A,5,290,W,28,5,27
 -Pat Tabler,473,61,566,178,9,154,6,252,A,6,1966,E,48,29,250
 -Jody Davis,528,61,671,226,8,132,6,383,N,21,2641,E,74,97,273
