,Private,Apps,Accept,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Bluefield College,Yes,377,358,7150,4350,450,1500,61,67,17.8,3,6259,53
Bluffton College,Yes,692,514,9900,3990,400,900,76,71,13.3,19,9073,58
Boston University,Yes,20192,13007,18420,6810,475,1025,80,81,11.9,16,16836,72
Bowdoin College,Yes,3356,1019,19030,5885,1495,875,93,96,11.2,52,20447,96
Bowling Green State University,No,9251,7333,7452,3352,600,1700,81,89,21.1,14,6918,67
Bradford College,Yes,443,330,14080,6270,500,900,57,80,10.2,21,15387,46
Bradley University,Yes,3767,3414,10870,4440,2000,1522,75,81,14.4,21,7671,85
Brandeis University,Yes,4186,2743,19380,6750,410,1000,90,97,9.8,24,17150,84
Brenau University,Yes,367,274,9592,5879,500,700,71,80,13.7,12,5935,49
Brewton-Parker College,Yes,1436,1228,4371,2370,500,2000,62,62,12.6,10,4900,18
Briar Cliff College,Yes,392,351,10260,3597,600,1500,39,66,13.1,26,8355,58
Bridgewater College,Yes,838,673,10265,4725,560,875,68,73,13.2,24,8655,82
Brigham Young University at Provo,Yes,7365,5402,2340,3580,860,1220,76,76,20.5,40,7916,33
Brown University,Yes,12586,3239,19528,5926,720,1100,99,100,7.6,39,20440,97
Bryn Mawr College,Yes,1465,810,18165,6750,500,1200,100,100,12.3,49,17449,89
Bucknell University,Yes,6548,3813,18550,4750,800,1200,95,97,14.2,36,13675,93
Buena Vista College,Yes,860,688,13306,3797,450,950,62,69,8.8,10,6333,78
Butler University,Yes,2362,2037,13130,4650,500,1600,77,81,10.9,29,9511,83
Cabrini College,Yes,599,494,10518,6250,300,300,59,76,16.5,36,7117,71
Caldwell College,Yes,1011,604,8900,4600,425,1000,87,96,13.9,25,7922,55
California Lutheran University,Yes,563,247,12950,5300,612,576,72,74,12.4,17,8985,60
California Polytechnic-San Luis,No,7811,3817,7380,4877,612,2091,72,81,19.8,13,8453,59
California State University at Fresno,No,4540,3294,7706,4368,600,1926,90,90,21.2,8,7268,61
Calvin College,Yes,1784,1512,10230,3710,400,1210,75,81,14.8,41,7786,81
Campbell University,Yes,2087,1339,7550,2790,600,500,77,77,21.8,34,3739,63
Campbellsville College,Yes,848,587,6060,3070,600,1300,62,66,17.7,13,5391,49
Canisius College,Yes,2853,2193,10750,5340,400,1130,90,92,14.6,26,7972,64
Capital University,Yes,1747,1382,13050,4000,500,800,64,69,12.1,27,9557,83
Capitol College,Yes,100,90,8400,2812,300,2134,10,50,12.1,24,7976,52
Carleton College,Yes,2694,1579,19292,3957,550,550,81,93,10.4,60,17960,91
Carnegie Mellon University,Yes,8728,5201,17900,5690,450,1250,86,93,9.2,31,24386,74
Carroll College,Yes,1160,991,12200,3880,480,930,74,81,17.8,25,7666,79
Carson-Newman College,Yes,1096,951,8150,3150,400,500,61,62,13.6,16,6716,67
Carthage College,Yes,1616,1427,13125,3775,500,1300,74,89,15.9,22,7364,62
Case Western Reserve University,Yes,3877,3156,15700,4730,525,1460,95,95,2.9,29,19733,67
Castleton State College,No,1257,940,7656,4690,400,700,89,91,14.7,8,6318,79
Catawba College,Yes,1083,880,9270,4100,600,1860,75,82,13.5,27,8425,55
Catholic University of America,Yes,1754,1465,13712,6408,526,1100,90,96,9.3,18,12751,75
Cazenovia College,Yes,3847,3433,9384,4840,600,500,22,47,14.3,20,7697,118
Cedar Crest College,Yes,776,607,14340,5285,500,1000,58,83,11.7,39,10961,74
Cedarville College,Yes,1307,1090,7344,4410,570,1000,50,52,15.3,34,6897,64
Centenary College,Yes,369,312,11400,5400,500,760,41,85,9.5,20,9583,24
Centenary College of Louisiana,Yes,495,434,8950,3490,600,1900,86,92,11.3,25,9685,66
Center for Creative Studies,Yes,601,396,11230,6643,2340,620,8,58,6.8,4,13025,47
Central College,Yes,1283,1113,10938,3660,650,600,76,90,13.5,29,8444,67
Central Connecticut State University,No,4158,2532,5962,4444,500,985,69,73,16.7,4,4900,49
Central Missouri State University,No,4681,4101,4620,3288,300,2250,69,80,19.7,4,5501,50
Central Washington University,No,2785,2011,7242,3603,654,1416,67,89,18.1,0,6413,51
Central Wesleyan College,Yes,174,146,8300,3080,600,600,62,62,15.2,18,3365,58
Centre College,Yes,1013,888,11850,4270,600,900,95,99,11.4,60,13118,74
Chapman University,Yes,959,771,16624,5895,600,1100,72,80,12.8,6,12692,47
Chatham College,Yes,212,197,13500,5230,400,850,95,98,9.3,37,16095,52
Chestnut Hill College,Yes,342,254,10335,5015,700,850,71,71,8.3,29,7729,73
Christendom College,Yes,81,72,8730,3600,400,800,92,92,9.3,17,10922,58
Christian Brothers University,Yes,880,520,9300,3260,600,900,81,81,11.1,24,8129,63
Christopher Newport University,No,883,766,7860,4750,525,1889,80,82,21.2,16,4639,48
Claflin College,Yes,1196,697,4412,2460,500,1000,69,69,16.9,31,7083,21
Claremont McKenna College,Yes,1860,767,17000,6010,500,850,99,99,9.6,52,18443,87
Clark University,Yes,2887,2059,17500,4200,500,950,94,95,10.5,35,11951,79
Clarke College,Yes,460,340,10740,3676,350,900,67,71,11,27,7963,74
Clarkson University,Yes,2174,1953,15960,5580,700,1300,95,95,15.8,32,11659,77
Clemson University,No,8065,5257,8116,3610,800,1618,82,88,18,17,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,7168,3689,600,1900,67,67,18.1,9,4417,46
Coe College,Yes,1006,742,13925,4390,500,2200,73,86,12.7,32,10141,67
Coker College,Yes,604,452,9888,4502,400,1000,64,77,12.1,39,8741,75
Colby College,Yes,2848,1319,18930,5590,500,1000,83,94,10.2,41,15954,91
Colgate University,Yes,4856,2492,19510,5565,500,750,95,98,10.5,45,15494,93
College Misericordia,Yes,1432,888,10860,5760,550,900,56,62,12.9,23,8604,96
College of Charleston,No,4772,3140,6120,3460,666,2316,73,78,17.2,18,4776,51
College of Mount St. Joseph,Yes,798,620,9800,4430,400,1150,46,46,11.1,35,6889,100
College of Mount St. Vincent,Yes,946,648,11790,5770,500,1000,75,77,11.9,35,10015,83
College of Notre Dame,Yes,344,264,12600,5520,630,2250,77,80,10.4,7,9773,43
College of Notre Dame of Maryland,Yes,457,356,11180,5620,600,700,64,64,11.5,32,7477,75
College of Saint Benedict,Yes,938,864,12247,4221,500,600,70,88,13.1,26,8847,72
College of Saint Catherine,Yes,511,411,12224,4440,450,1000,63,87,11.5,32,7315,77
College of Saint Elizabeth,Yes,444,359,10900,5250,380,1000,68,70,11.4,23,9447,78
College of Saint Rose,Yes,983,664,9990,5666,800,1500,66,71,14.3,28,6084,64
College of Santa Fe,Yes,546,447,11138,4138,600,1200,40,74,14,7,8820,80
College of St. Joseph,Yes,141,118,8300,4850,450,1300,53,53,9.5,19,6936,76
College of St. Scholastica,Yes,672,596,11844,3696,450,1146,54,76,11.6,33,8996,72
College of the Holy Cross,Yes,2994,1691,18000,6300,400,900,92,96,11.3,55,12138,95
College of William and Mary,No,7117,3106,11720,4298,600,800,89,92,12.1,31,9534,93
College of Wooster,Yes,2100,1883,16240,4690,500,500,84,96,11.1,43,14140,69
Colorado College,Yes,3207,1577,17142,4190,450,1200,85,97,11.3,51,14664,84
Colorado State University,No,9478,6312,8412,4180,470,1800,87,89,19.2,10,7850,59
Columbia College MO,Yes,314,158,8294,3700,400,900,87,87,15.3,2,5015,37
Columbia College,Yes,737,614,10425,3975,500,1500,61,77,14.7,34,8693,76
Columbia University,Yes,6756,1930,18624,6664,550,300,97,98,5.9,21,30639,99
Concordia College at St. Paul,Yes,281,266,10500,3750,450,950,69,75,12.8,18,6955,45
Concordia Lutheran College,Yes,232,216,6900,3800,450,1825,67,76,12.1,9,6875,42
Concordia University CA,Yes,688,497,10800,4440,570,1515,55,60,13.1,13,8415,55
Concordia University,Yes,528,403,9216,4191,400,1000,56,64,12.1,13,7309,75
Connecticut College,Yes,3035,1546,18740,6300,600,500,86,95,10.7,40,14773,91
Converse College,Yes,440,407,12050,3700,500,900,63,76,10.2,31,10965,75
Cornell College,Yes,1538,1329,15248,4323,550,800,71,76,12.2,31,10340,64
Creighton University,Yes,2967,2836,10628,4372,650,2055,85,90,6.5,32,22906,85
Culver-Stockton College,Yes,1576,1110,8000,3700,400,500,51,52,14.1,28,5807,51
Cumberland College,Yes,995,789,6230,3526,400,600,42,44,13,4,8189,63
D'Youville College,Yes,866,619,8920,4310,680,1320,68,68,14.6,42,6898,46
Dana College,Yes,504,482,9130,3322,450,1450,46,51,12.6,25,8686,54
Daniel Webster College,Yes,585,508,12292,4934,500,500,61,61,22.2,10,8643,72
Dartmouth College,Yes,8587,2273,19545,6070,550,1100,95,99,4.7,49,29619,98
Davidson College,Yes,2373,956,17295,5070,600,1011,95,97,12,46,17581,94
Defiance College,Yes,571,461,10850,3670,400,1159,58,60,12.8,19,7505,56
Delta State University,No,967,945,4528,1880,500,1200,49,63,17.1,16,5113,58
Denison University,Yes,2762,2279,16900,4720,500,600,88,97,11.6,45,12423,81
DePauw University,Yes,1994,1656,14300,5020,550,950,78,94,11.1,31,11525,82
Dickinson College,Yes,3014,2539,18700,5000,595,1250,87,94,11.2,39,13861,87
Dickinson State University,No,434,412,4486,2146,600,2000,50,64,16.5,28,4525,46
Dillard University,Yes,1998,1376,6700,3650,500,2307,52,52,14.1,12,7566,61
Doane College,Yes,793,709,9570,3000,400,1000,67,72,15.1,42,6852,60
Dominican College of Blauvelt,Yes,360,329,8310,5500,600,1800,43,43,12.7,5,5480,54
Dordt College,Yes,604,562,9800,2650,450,2800,61,60,12.5,17,7325,87
Dowling College,Yes,1011,829,9000,3100,450,1413,77,78,12.4,7,11178,42
Drake University,Yes,2799,2573,13420,4770,560,1675,88,93,15,24,9473,77
Drew University,Yes,2153,1580,18432,5616,520,660,93,97,10.2,28,14907,83
Drury College,Yes,700,650,8730,3523,500,750,82,92,13.2,35,9303,67
Duke University,Yes,13789,3893,18590,5950,625,1162,95,96,5,44,27206,97
Earlham College,Yes,1358,1006,15036,4056,600,600,90,94,10.6,46,14634,78
East Carolina University,No,9274,6362,7248,3240,500,1700,74,78,13.2,18,9002,58
East Tennessee State University,No,3330,2730,5800,3000,600,2200,73,75,14,9,9825,42
East Texas Baptist University,Yes,379,341,4950,2780,530,1500,62,62,15.7,7,5619,38
Eastern College,Yes,458,369,11190,4800,450,1230,60,60,13.6,22,8135,54
Eastern Connecticut State University,No,2172,1493,5962,4316,650,500,71,76,16.9,14,5719,50
Eastern Illinois University,No,5597,4253,5710,3066,120,1730,62,71,16.2,5,5682,76
Eastern Mennonite College,Yes,486,440,9650,3800,600,1300,46,65,11.4,29,10188,82
Eastern Nazarene College,Yes,516,409,8770,3500,450,700,58,58,17.3,17,6430,70
Eckerd College,Yes,1422,1109,15360,4080,600,1000,82,89,12.8,26,15003,59
Elizabethtown College,Yes,2417,1843,14190,4400,500,750,65,68,12.8,25,9815,81
Elmira College,Yes,1457,1045,14990,4980,450,550,77,98,21.5,21,7502,64
Elms College,Yes,245,208,11800,4765,450,1700,71,71,11.3,21,8952,86
Elon College,Yes,3624,2786,9100,3883,490,1777,70,74,18.9,34,6329,63
Embry Riddle Aeronautical University,Yes,3151,2584,7800,3750,570,3020,37,43,16.5,4,12878,44
Emory & Henry College,Yes,765,646,8578,4408,700,1600,79,88,13.9,51,8061,82
Emory University,Yes,8506,4168,17600,6000,600,870,97,98,5,28,28457,96
Emporia State University,No,1256,1256,5401,3144,450,1888,72,75,19.3,4,5527,50
Erskine College,Yes,659,557,10485,3840,475,1246,76,80,13.5,47,7527,67
Eureka College,Yes,560,454,10955,3450,330,670,62,87,10.6,31,9552,53
Evergreen State College,No,1801,1101,6297,4600,600,1323,75,78,18.1,14,8355,68
Fairfield University,Yes,4784,3346,15000,6200,700,1100,86,90,15.1,30,11220,94
Fayetteville State University,No,1455,1064,6806,2550,350,766,75,75,15.1,10,6972,24
Ferrum College,Yes,1339,1107,9400,4200,500,1600,53,58,12.5,9,7967,22
Flagler College,Yes,1415,714,5120,3200,500,2140,52,60,18.1,9,3930,69
Florida Institute of Technology,Yes,1947,1580,13900,4140,750,1500,90,90,10.6,7,8923,57
Florida International University,No,3306,2079,6597,2494,800,3028,81,96,13.9,20,6722,66
Florida Southern College,Yes,1381,1040,8025,4865,400,650,65,74,17.4,10,6339,68
Florida State University,No,11651,8683,6680,4060,600,1020,80,89,23.1,15,7250,58
Fontbonne College,Yes,291,245,8390,4100,350,1500,45,55,21.5,24,4607,62
Fordham University,Yes,4200,2874,14235,6965,600,1735,86,97,14.4,14,10864,80
Fort Lewis College,No,3440,2823,6198,3320,500,2500,89,97,19.1,6,4362,46
Francis Marion University,No,1801,1655,5840,3138,400,2430,76,76,19.1,8,5039,43
Franciscan University of Steubenville,Yes,553,452,9650,4400,600,1000,57,69,14.9,8,6336,83
Franklin College,Yes,804,632,10390,4040,525,1345,54,78,12.5,37,11751,60
Franklin Pierce College,Yes,5187,4471,13320,4630,500,800,50,56,17.6,16,6418,51
Freed-Hardeman University,Yes,895,548,5500,3340,600,1600,68,76,16.1,13,6078,62
Fresno Pacific College,Yes,346,274,9900,3670,630,1818,59,59,10.5,14,8095,54
Furman University,Yes,2161,1951,13440,4048,600,1250,92,95,13.5,28,12940,82
Gannon University,Yes,2464,1908,10970,4280,500,1380,47,51,13.3,18,7711,65
SUNY at Stony Brook,No,12512,6969,6550,4712,600,1200,91,96,10.5,7,13705,57
SUNY College  at Brockport,No,7294,3564,6550,4460,500,705,79,83,19,14,6632,49
SUNY College  at Oswego,No,8000,4556,6550,4810,500,1500,69,85,22,21,5280,63
SUNY College at Buffalo,No,5318,3515,6550,4040,550,1230,71,78,18.7,12,7511,42
SUNY College at Cortland,No,7888,3519,6550,4680,630,1274,82,85,17.8,17,5563,53
SUNY College at Fredonia,No,4877,2798,6550,4420,620,1481,82,90,16.3,10,6442,66
SUNY College at Geneseo,No,8598,4562,6550,4170,600,650,79,84,19.1,25,5716,76
SUNY College at New Paltz,No,8399,3609,6550,4240,550,1500,85,93,15.3,8,6608,53
SUNY College at Plattsburgh,No,5549,3583,6550,4176,600,1380,80,90,17.9,16,6174,65
SUNY College at Potsdam,No,3150,2289,6840,4660,500,1000,71,75,15.1,17,6436,59
SUNY College at Purchase,No,2119,1264,6550,4760,1125,1362,80,100,14.9,8,8170,46
Susquehanna University,Yes,2096,1512,16130,4710,400,800,83,86,13.9,37,10554,90
Sweet Briar College,Yes,462,402,14500,6000,500,600,91,99,6.5,48,18953,61
Syracuse University,Yes,10477,7260,15150,6870,635,960,73,84,11.3,13,14231,67
Tabor College,Yes,257,183,7850,3410,400,1500,55,70,10,15,7233,53
Talladega College,Yes,4414,1500,5666,2964,1000,1400,56,58,15.5,7,5970,46
Taylor University,Yes,1769,1092,10965,4000,450,1250,60,61,14.2,32,8294,98
Tennessee Wesleyan College,Yes,232,182,7070,3640,400,3158,59,65,8.9,16,6286,36
Texas A&M Univ. at College Station,No,14474,10519,5130,3412,600,2144,89,91,23.1,29,8471,69
Texas A&M University at Galveston,No,529,481,4860,3122,600,650,103,88,17.4,16,6415,43
Texas Christian University,Yes,4095,3079,8490,3320,650,2400,81,93,14.8,23,9158,64
Texas Lutheran College,Yes,497,423,7850,3410,490,1700,54,58,13.8,24,7002,50
Texas Southern University,No,4345,3245,7860,3360,600,1700,65,75,18.2,21,3605,10
Texas Wesleyan University,Yes,592,501,6400,3484,600,1800,80,83,14.5,10,7936,43
The Citadel,No,1500,1242,7070,2439,400,779,95,94,17.1,17,7744,84
Thiel College,Yes,1154,951,11172,4958,700,1350,68,76,11.6,16,9186,60
Tiffin University,Yes,845,734,7600,3800,600,1200,59,74,19,40,5096,39
Transylvania University,Yes,759,729,10900,4450,500,1000,81,91,12.1,41,10219,70
Trenton State College,No,5042,2312,5391,5411,700,1000,81,87,14.4,6,8504,81
Tri-State University,Yes,1262,1102,9456,4350,468,1323,53,53,12.8,24,7603,65
Trinity College CT,Yes,3058,1798,18810,5690,500,680,91,96,10.4,48,18034,91
Trinity College DC,Yes,247,189,11412,6430,500,900,89,93,8.3,37,11806,96
Trinity College VT,Yes,222,185,11010,5208,550,500,58,78,10.4,26,9586,78
Trinity University,Yes,2425,1818,12240,5150,500,490,94,96,9.6,20,14703,93
Tulane University,Yes,7033,5125,19040,5950,350,800,98,98,9.1,21,16920,74
Tusculum College,Yes,626,372,7700,3400,450,800,70,70,21.9,28,4933,52
Tuskegee University,Yes,2267,1827,6735,3395,600,1425,70,74,12.2,7,10872,65
Union College KY,Yes,484,384,7800,2950,500,600,60,88,14.1,9,6864,64
Union College NY,Yes,3495,1712,18732,6204,450,1024,94,96,11.5,49,15411,88
Univ. of Wisconsin at OshKosh,No,4800,2900,6874,2394,518,1890,73,78,19.2,14,5901,56
University of Alabama at Birmingham,No,1797,1260,4440,5175,750,2200,96,96,6.7,16,16352,33
University of Arkansas at Fayetteville,No,3235,3108,5028,3300,500,2000,73,89,14.8,10,6820,39
University of California at Berkeley,No,19873,8252,11648,6246,636,1933,93,97,15.8,10,13919,78
University of California at Irvine,No,15698,10775,12024,5302,790,1818,96,96,16.1,11,15934,66
University of Central Florida,No,6986,2959,6618,4234,700,1600,80,98,22.2,9,6742,46
University of Charleston,Yes,682,535,9500,3540,400,750,26,58,2.5,10,7683,57
University of Chicago,Yes,6348,2999,18930,6380,500,1254,99,99,5.3,36,36854,90
University of Cincinnati,No,6855,5553,8907,4697,556,1851,89,95,10.8,6,13889,54
University of Connecticut at Storrs,No,9735,7187,11656,5072,700,2300,89,95,16,16,10178,71
University of Dallas,Yes,681,588,10760,6230,500,1200,85,93,13.4,26,8731,63
University of Dayton,Yes,6361,5293,11380,4220,500,900,81,85,14.8,25,8894,93
University of Delaware,Yes,14446,10516,10220,4230,530,1300,82,87,18.3,15,10650,75
University of Denver,Yes,2974,2001,15192,4695,400,1350,84,91,15.9,21,11762,67
University of Detroit Mercy,Yes,927,731,11130,3996,600,2166,72,79,13.5,14,10891,51
University of Dubuque,Yes,576,558,10430,3620,400,1500,85,98,16.5,18,8767,45
University of Evansville,Yes,2096,1626,11800,4340,700,960,60,81,15.8,26,7780,77
University of Florida,No,12445,8836,7090,4180,630,1530,88,97,13.4,20,14737,66
University of Georgia,No,11220,7871,5697,3600,525,1755,88,95,14.7,22,7881,63
University of Hartford,Yes,5081,4040,14220,6000,500,1440,61,76,10.7,9,10625,66
University of Hawaii at Manoa,No,3580,2603,4460,3038,687,1281,85,87,11.8,6,12833,54
University of Illinois - Urbana,No,14939,11652,7560,4574,500,1982,87,90,17.4,13,8559,81
University of Illinois at Chicago,No,8384,5727,7230,5088,630,3228,82,84,10,6,13883,34
University of Indianapolis,Yes,1487,1276,11120,4080,525,1405,55,56,11.1,23,6735,69
University of Kansas,No,8579,5561,6994,3384,700,2681,88,94,13.7,17,9657,57
University of La Verne,Yes,1597,969,13540,5050,630,2298,66,68,14.1,23,10139,47
University of Louisville,No,4777,3057,6540,3600,530,2440,84,92,11.1,24,10207,31
University of Maine at Farmington,No,1208,803,6810,3970,450,1647,67,75,15.9,26,5712,59
University of Maine at Machias,No,441,369,6600,3680,600,400,46,46,15.1,4,5935,64
University of Maine at Presque Isle,No,461,381,6600,3630,400,1675,67,67,15.2,11,6408,35
University of Maryland at Baltimore County,No,4269,2594,8594,4408,494,2768,82,88,18.4,6,7618,55
University of Maryland at College Park,No,14292,10315,8723,5146,550,1550,89,92,18.1,12,9021,63
University of Massachusetts at Amherst,No,14438,12414,8566,3897,500,1400,88,92,16.7,15,10276,68
University of Massachusetts at Dartmouth,No,3347,2597,6919,4500,500,1250,74,90,15,20,7462,56
University of Miami,Yes,7122,5386,16500,6526,630,1985,82,94,5.9,17,17500,59
University of Michigan at Ann Arbor,No,19152,12940,15732,4659,476,1600,90,98,11.5,26,14847,87
University of Minnesota at Duluth,No,4192,3126,8828,3474,753,2610,79,91,19,11,6393,53
University of Minnesota at Morris,No,1458,874,9843,3180,600,1500,74,78,14.6,16,6716,51
University of Minnesota Twin Cities,No,11054,6397,8949,3744,714,2910,88,90,12.2,37,16122,45
University of Mississippi,No,3844,3383,4916,3810,600,550,81,86,20.3,14,6971,53
University of Missouri at Columbia,No,6574,4637,9057,3485,600,1983,87,87,12.7,15,10145,58
University of Missouri at Rolla,No,1877,1826,9057,3600,700,1435,88,88,14.4,23,9699,49
University of Missouri at Saint Louis,No,1618,1141,7246,3964,500,4288,71,73,13.4,15,6433,48
University of Mobile,Yes,452,331,6150,3680,550,1200,59,63,16.6,4,5412,52
University of Montevallo,No,1351,892,4440,3030,300,600,72,72,18.9,8,5883,51
University of Nebraska at Lincoln,No,6277,6003,5595,3145,500,2070,86,92,15.1,48,6813,53
University of New England,Yes,1209,750,11450,5045,900,2500,72,75,11.4,13,9718,64
University of New Hampshire,No,9750,7640,11180,3862,650,2450,89,87,17.5,16,7855,75
University of North Carolina at Asheville,No,1757,979,5972,3420,600,750,77,83,13,11,7011,37
University of North Carolina at Chapel Hill,No,14596,5985,8400,4200,550,1200,88,93,8.9,23,15893,83
University of North Carolina at Charlotte,No,5803,4441,7248,3109,600,1900,79,91,16.8,7,6227,62
University of North Carolina at Greensboro,No,5191,4134,8677,3505,600,1300,75,94,15.5,17,7392,53
University of North Carolina at Wilmington,No,6071,3856,7558,3680,500,1500,82,85,19.1,15,6005,55
University of North Dakota,No,2777,2249,5634,2703,450,1200,97,97,15.9,16,9424,49
University of North Florida,No,1800,1253,6634,4360,600,2604,82,85,17.8,14,6104,47
University of North Texas,No,4418,2737,4104,3579,450,1700,86,94,22.6,6,5657,35
University of Northern Colorado,No,5530,4007,7731,4128,540,2286,75,75,21.5,8,6309,40
University of Northern Iowa,No,4144,3379,6197,2930,595,2380,78,82,16.3,26,6333,77
University of Notre Dame,Yes,7700,3700,16850,4400,600,1350,96,92,13.1,46,13936,97
University of Oklahoma,No,4743,3970,5173,3526,765,3176,86,90,11.5,11,10244,44
University of Oregon,No,8631,6732,10602,3660,570,1530,79,87,19.7,13,8020,54
University of Pennsylvania,Yes,12394,5232,17020,7270,500,1544,95,96,6.3,38,25765,93
University of Pittsburgh-Main Campus,No,8586,6383,10786,4560,400,900,93,93,7.8,10,13789,66
University of Portland,Yes,1758,1485,12040,4100,600,1100,92,96,13.2,17,9060,72
University of Puget Sound,Yes,4044,2826,16230,4500,630,1800,79,86,15,17,11217,63
University of Rhode Island,No,9643,7751,10330,5558,500,1250,84,89,16.6,7,9158,63
University of Richmond,Yes,5892,2718,14500,3285,700,1125,75,89,11.7,32,11984,100
University of Rochester,Yes,8766,5498,17840,6582,500,882,93,99,5.9,23,26037,80
University of San Diego,Yes,3934,2735,13600,5940,630,1820,93,96,15.6,13,10813,66
University of San Francisco,Yes,2306,1721,13226,6452,750,2450,86,86,13.6,8,10074,62
University of Sci. and Arts of Oklahoma,No,285,280,3687,1920,600,1800,67,77,23.6,3,3864,43
